recovery_v2_episode,source_group,source_episode,pair_id,order_type,source_episode_id
45,clean_v1_retained,54,L4_M01,cyan_then_pink,vla_008
46,clean_v1_retained,55,L1_M06,cyan_then_pink,vla_011
47,clean_v1_retained,56,L4_M02,cyan_then_pink,vla_013
48,clean_v1_retained,57,L2_M03,cyan_then_pink,vla_015
49,clean_v1_retained,58,L5_M09,cyan_then_pink,vla_016
50,clean_v1_retained,59,L2_M04,cyan_then_pink,vla_018
51,clean_v1_retained,60,L5_M05,cyan_then_pink,vla_020
52,clean_v1_retained,61,L3_M08,cyan_then_pink,vla_023
53,clean_v1_retained,62,L1_M10,cyan_then_pink,vla_024
54,clean_v1_retained,63,L3_M03,cyan_then_pink,vla_027
55,clean_v1_retained,64,L1_M01,cyan_then_pink,vla_028
56,clean_v1_retained,65,L3_M05,cyan_then_pink,vla_030
57,clean_v1_retained,67,L3_M07,cyan_then_pink,vla_034
58,clean_v1_retained,68,L5_M07,cyan_then_pink,vla_037
59,clean_v1_retained,69,L3_M09,cyan_then_pink,vla_039
60,clean_v1_retained,70,L2_M09,cyan_then_pink,vla_040
61,clean_v1_retained,73,L3_M01,cyan_then_pink,vla_046
62,clean_v1_retained,74,L5_M10,cyan_then_pink,vla_048
63,clean_v1_retained,75,L2_M01,cyan_then_pink,vla_050
64,clean_v1_retained,76,L4_M06,cyan_then_pink,vla_053
65,clean_v1_retained,77,L5_M04,cyan_then_pink,vla_055
66,clean_v1_retained,78,L1_M07,cyan_then_pink,vla_056
67,clean_v1_retained,80,L4_M10,cyan_then_pink,vla_060
68,clean_v1_retained,82,L5_M03,cyan_then_pink,vla_065
69,clean_v1_retained,83,L4_M07,cyan_then_pink,vla_067
70,clean_v1_retained,84,L1_M04,cyan_then_pink,vla_069
71,clean_v1_retained,85,L3_M06,cyan_then_pink,vla_071
72,clean_v1_retained,86,L4_M03,cyan_then_pink,vla_072
73,clean_v1_retained,87,L1_M05,cyan_then_pink,vla_074
74,clean_v1_retained,88,L4_M09,cyan_then_pink,vla_076
75,clean_v1_retained,89,L3_M10,cyan_then_pink,vla_078
76,clean_v1_retained,90,L2_M06,cyan_then_pink,vla_081
77,clean_v1_retained,91,L4_M05,cyan_then_pink,vla_083
78,clean_v1_retained,92,L2_M02,cyan_then_pink,vla_084
79,clean_v1_retained,94,L2_M10,cyan_then_pink,vla_089
80,clean_v1_retained,96,L1_M03,cyan_then_pink,vla_092
81,clean_v1_retained,98,L4_M04,cyan_then_pink,vla_097
82,recovery_pink_then_cyan_selected,1,recovery_L1_M09_R01,pink_then_cyan,svla_fix_001
83,recovery_pink_then_cyan_selected,6,recovery_L4_M09_R03,pink_then_cyan,svla_fix_010
84,recovery_pink_then_cyan_selected,9,recovery_L2_M09_R01,pink_then_cyan,svla_fix_017
85,recovery_pink_then_cyan_selected,10,recovery_L3_M09_R03,pink_then_cyan,svla_fix_018
86,recovery_pink_then_cyan_selected,11,recovery_L1_M09_R02,pink_then_cyan,svla_fix_021
87,recovery_pink_then_cyan_selected,12,recovery_L4_M09_R01,pink_then_cyan,svla_fix_023
88,recovery_pink_then_cyan_selected,15,recovery_L2_M09_R04,pink_then_cyan,svla_fix_028
89,recovery_pink_then_cyan_selected,18,recovery_L1_M09_R04,pink_then_cyan,svla_fix_034
90,recovery_pink_then_cyan_selected,21,recovery_L4_M09_R04,pink_then_cyan,svla_fix_003
91,recovery_pink_then_cyan_selected,22,recovery_L3_M09_R04,pink_then_cyan,svla_fix_005
92,recovery_pink_then_cyan_selected,24,recovery_L5_M09_R03,pink_then_cyan,svla_fix_006
93,recovery_pink_then_cyan_selected,25,recovery_L1_M09_R03,pink_then_cyan,svla_fix_008
94,recovery_pink_then_cyan_selected,27,recovery_L5_M09_R01,pink_then_cyan,svla_fix_014
95,recovery_pink_then_cyan_selected,29,recovery_L4_M09_R02,pink_then_cyan,svla_fix_026
96,recovery_pink_then_cyan_selected,30,recovery_L5_M09_R04,pink_then_cyan,svla_fix_031
97,recovery_pink_then_cyan_selected,31,recovery_L2_M09_R03,pink_then_cyan,svla_fix_032
98,recovery_pink_then_cyan_selected,32,recovery_L5_M09_R02,pink_then_cyan,svla_fix_037
99,recovery_pink_then_cyan_selected,33,recovery_L2_M09_R02,pink_then_cyan,svla_fix_039
100,recovery_pink_then_cyan_selected,35,recovery_L3_M09_R01,pink_then_cyan,svla_fix_025
101,recovery_pink_then_cyan_selected,36,recovery_L3_M09_R02,pink_then_cyan,svla_fix_012
102,recovery_cyan_then_pink_selected,1,recovery_L1_M09_R01,cyan_then_pink,svla_fix_000
103,recovery_cyan_then_pink_selected,6,recovery_L4_M09_R03,cyan_then_pink,svla_fix_011
104,recovery_cyan_then_pink_selected,9,recovery_L2_M09_R01,cyan_then_pink,svla_fix_016
105,recovery_cyan_then_pink_selected,10,recovery_L3_M09_R03,cyan_then_pink,svla_fix_019
106,recovery_cyan_then_pink_selected,11,recovery_L1_M09_R02,cyan_then_pink,svla_fix_020
107,recovery_cyan_then_pink_selected,12,recovery_L4_M09_R01,cyan_then_pink,svla_fix_022
108,recovery_cyan_then_pink_selected,15,recovery_L2_M09_R04,cyan_then_pink,svla_fix_029
109,recovery_cyan_then_pink_selected,18,recovery_L1_M09_R04,cyan_then_pink,svla_fix_035
110,recovery_cyan_then_pink_selected,21,recovery_L4_M09_R04,cyan_then_pink,svla_fix_002
111,recovery_cyan_then_pink_selected,22,recovery_L3_M09_R04,cyan_then_pink,svla_fix_004
112,recovery_cyan_then_pink_selected,24,recovery_L5_M09_R03,cyan_then_pink,svla_fix_007
113,recovery_cyan_then_pink_selected,25,recovery_L1_M09_R03,cyan_then_pink,svla_fix_009
114,recovery_cyan_then_pink_selected,27,recovery_L5_M09_R01,cyan_then_pink,svla_fix_015
115,recovery_cyan_then_pink_selected,29,recovery_L4_M09_R02,cyan_then_pink,svla_fix_027
116,recovery_cyan_then_pink_selected,30,recovery_L5_M09_R04,cyan_then_pink,svla_fix_030
117,recovery_cyan_then_pink_selected,31,recovery_L2_M09_R03,cyan_then_pink,svla_fix_033
118,recovery_cyan_then_pink_selected,32,recovery_L5_M09_R02,cyan_then_pink,svla_fix_036
119,recovery_cyan_then_pink_selected,33,recovery_L2_M09_R02,cyan_then_pink,svla_fix_038
120,recovery_cyan_then_pink_selected,35,recovery_L3_M09_R01,cyan_then_pink,svla_fix_024
121,recovery_cyan_then_pink_selected,36,recovery_L3_M09_R02,cyan_then_pink,svla_fix_013
