episode_id,layout_id,micro_layout_id,repeat_id,order_type,first_color,second_color,task,pair_id,planned_order,status,accepted,notes
vla_037,L5,L5_M07,7,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M07,38,accepted,true,raw_dataset_episode=20; pair_qc=accepted
vla_038,L3,L3_M09,9,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M09,39,accepted,true,raw_dataset_episode=19; pair_qc=accepted
vla_039,L3,L3_M09,9,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M09,40,accepted,true,raw_dataset_episode=21; pair_qc=accepted
vla_040,L2,L2_M09,9,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M09,41,accepted,true,raw_dataset_episode=22; pair_qc=accepted
vla_041,L2,L2_M09,9,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M09,42,accepted,true,raw_dataset_episode=20; pair_qc=accepted
vla_042,L3,L3_M04,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M04,43,accepted,true,raw_dataset_episode=21; pair_qc=accepted
vla_043,L3,L3_M04,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M04,44,accepted,true,raw_dataset_episode=23; pair_qc=accepted
vla_044,L1,L1_M02,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M02,45,accepted,true,raw_dataset_episode=22; pair_qc=accepted
vla_045,L1,L1_M02,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M02,46,accepted,true,raw_dataset_episode=24; pair_qc=accepted
vla_046,L3,L3_M01,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M01,47,accepted,true,raw_dataset_episode=25; pair_qc=accepted
vla_047,L3,L3_M01,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M01,48,accepted,true,raw_dataset_episode=23; pair_qc=accepted
vla_048,L5,L5_M10,10,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M10,49,accepted,true,raw_dataset_episode=26; pair_qc=accepted
vla_049,L5,L5_M10,10,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M10,50,accepted,true,raw_dataset_episode=24; pair_qc=accepted
vla_050,L2,L2_M01,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M01,51,accepted,true,raw_dataset_episode=27; pair_qc=accepted
vla_051,L2,L2_M01,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M01,52,accepted,true,raw_dataset_episode=25; pair_qc=accepted
vla_052,L4,L4_M06,6,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M06,53,accepted,true,raw_dataset_episode=26; pair_qc=accepted
vla_053,L4,L4_M06,6,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M06,54,accepted,true,raw_dataset_episode=28; pair_qc=accepted
vla_054,L5,L5_M04,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M04,55,accepted,true,raw_dataset_episode=27; pair_qc=accepted
vla_055,L5,L5_M04,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M04,56,accepted,true,raw_dataset_episode=29; pair_qc=accepted
vla_056,L1,L1_M07,7,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M07,57,accepted,true,raw_dataset_episode=30; pair_qc=accepted
vla_057,L1,L1_M07,7,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M07,58,accepted,true,raw_dataset_episode=28; pair_qc=accepted
vla_058,L3,L3_M02,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M02,59,accepted,true,raw_dataset_episode=29; pair_qc=accepted
vla_059,L3,L3_M02,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M02,60,accepted,true,raw_dataset_episode=31; pair_qc=accepted
vla_060,L4,L4_M10,10,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M10,61,accepted,true,raw_dataset_episode=32; pair_qc=accepted
vla_061,L4,L4_M10,10,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M10,62,accepted,true,raw_dataset_episode=30; pair_qc=accepted
vla_062,L2,L2_M08,8,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M08,63,accepted,true,raw_dataset_episode=31; pair_qc=accepted
vla_063,L2,L2_M08,8,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M08,64,accepted,true,raw_dataset_episode=33; pair_qc=accepted
vla_064,L5,L5_M03,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M03,65,accepted,true,raw_dataset_episode=32; pair_qc=accepted
vla_065,L5,L5_M03,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M03,66,accepted,true,raw_dataset_episode=34; pair_qc=accepted
vla_066,L4,L4_M07,7,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M07,67,accepted,true,raw_dataset_episode=33; pair_qc=accepted
vla_067,L4,L4_M07,7,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M07,68,accepted,true,raw_dataset_episode=35; pair_qc=accepted
vla_068,L1,L1_M04,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M04,69,accepted,true,raw_dataset_episode=34; pair_qc=accepted
vla_069,L1,L1_M04,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M04,70,accepted,true,raw_dataset_episode=36; pair_qc=accepted
vla_070,L3,L3_M06,6,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M06,71,accepted,true,raw_dataset_episode=35; pair_qc=accepted
vla_071,L3,L3_M06,6,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M06,72,accepted,true,raw_dataset_episode=37; pair_qc=accepted
vla_072,L4,L4_M03,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M03,73,accepted,true,raw_dataset_episode=38; pair_qc=accepted
vla_073,L4,L4_M03,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M03,74,accepted,true,raw_dataset_episode=36; pair_qc=accepted
vla_074,L1,L1_M05,5,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M05,75,accepted,true,raw_dataset_episode=39; pair_qc=accepted
vla_075,L1,L1_M05,5,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M05,76,accepted,true,raw_dataset_episode=37; pair_qc=accepted
vla_076,L4,L4_M09,9,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M09,77,accepted,true,raw_dataset_episode=40; pair_qc=accepted
vla_077,L4,L4_M09,9,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M09,78,accepted,true,raw_dataset_episode=38; pair_qc=accepted
vla_078,L3,L3_M10,10,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M10,79,accepted,true,raw_dataset_episode=41; pair_qc=accepted
vla_079,L3,L3_M10,10,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M10,80,accepted,true,raw_dataset_episode=39; pair_qc=accepted
vla_080,L2,L2_M06,6,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M06,81,accepted,true,raw_dataset_episode=40; pair_qc=accepted
vla_081,L2,L2_M06,6,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M06,82,accepted,true,raw_dataset_episode=42; pair_qc=accepted
vla_082,L4,L4_M05,5,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M05,83,accepted,true,raw_dataset_episode=41; pair_qc=accepted
vla_083,L4,L4_M05,5,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M05,84,accepted,true,raw_dataset_episode=43; pair_qc=accepted
vla_084,L2,L2_M02,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M02,85,accepted,true,raw_dataset_episode=44; pair_qc=accepted
vla_085,L2,L2_M02,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M02,86,accepted,true,raw_dataset_episode=42; pair_qc=accepted
vla_086,L4,L4_M08,8,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M08,87,accepted,true,raw_dataset_episode=45; pair_qc=accepted
vla_087,L4,L4_M08,8,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M08,88,accepted,true,raw_dataset_episode=43; pair_qc=accepted
vla_088,L2,L2_M10,10,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M10,89,accepted,true,raw_dataset_episode=44; pair_qc=accepted
vla_089,L2,L2_M10,10,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M10,90,accepted,true,raw_dataset_episode=46; pair_qc=accepted
vla_090,L5,L5_M02,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M02,91,accepted,true,raw_dataset_episode=45; pair_qc=accepted
vla_091,L5,L5_M02,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M02,92,accepted,true,raw_dataset_episode=47; pair_qc=accepted
vla_092,L1,L1_M03,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M03,93,accepted,true,raw_dataset_episode=48; pair_qc=accepted
vla_093,L1,L1_M03,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M03,94,accepted,true,raw_dataset_episode=46; pair_qc=accepted
vla_094,L5,L5_M01,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M01,95,accepted,true,raw_dataset_episode=49; pair_qc=accepted
vla_095,L5,L5_M01,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M01,96,accepted,true,raw_dataset_episode=47; pair_qc=accepted
vla_096,L4,L4_M04,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M04,97,accepted,true,raw_dataset_episode=48; pair_qc=accepted
vla_097,L4,L4_M04,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M04,98,accepted,true,raw_dataset_episode=50; pair_qc=accepted
vla_098,L5,L5_M06,6,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M06,99,accepted,true,raw_dataset_episode=51; pair_qc=accepted
vla_099,L5,L5_M06,6,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M06,100,accepted,true,raw_dataset_episode=49; pair_qc=accepted
