episode_id,pair_id,base_micro_layout_id,layout_id,supplement_repeat_id,order_type,first_color,second_color,task,pair_position,planned_order,pink_x_norm,pink_y_norm,cyan_x_norm,cyan_y_norm,pink_x_offset_mm,pink_y_offset_mm,cyan_x_offset_mm,cyan_y_offset_mm,status,accepted,initial_both_visible,initial_pose_match,smooth_motion_qc,notes
svla_fix_010,recovery_L4_M09_R03,L4_M09,L4,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,11,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=6; pair_qc=accepted
svla_fix_011,recovery_L4_M09_R03,L4_M09,L4,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,12,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=6; pair_qc=accepted
svla_fix_012,recovery_L3_M09_R02,L3_M09,L3,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,13,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=7; replacement_raw_dataset_episode=26; replacement_raw_dataset_episode=34; replacement_raw_dataset_episode=36; pair_qc=accepted
svla_fix_013,recovery_L3_M09_R02,L3_M09,L3,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,14,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=7; replacement_raw_dataset_episode=26; replacement_raw_dataset_episode=34; replacement_raw_dataset_episode=36; pair_qc=accepted
svla_fix_014,recovery_L5_M09_R01,L5_M09,L5,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,15,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=8; replacement_raw_dataset_episode=27; pair_qc=accepted
svla_fix_015,recovery_L5_M09_R01,L5_M09,L5,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,16,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=8; replacement_raw_dataset_episode=27; pair_qc=accepted
svla_fix_016,recovery_L2_M09_R01,L2_M09,L2,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,17,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=9; pair_qc=accepted
svla_fix_017,recovery_L2_M09_R01,L2_M09,L2,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,18,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=9; pair_qc=accepted
svla_fix_018,recovery_L3_M09_R03,L3_M09,L3,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,19,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=10; pair_qc=accepted
svla_fix_019,recovery_L3_M09_R03,L3_M09,L3,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,20,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=10; pair_qc=accepted
svla_fix_020,recovery_L1_M09_R02,L1_M09,L1,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,21,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=11; pair_qc=accepted
svla_fix_021,recovery_L1_M09_R02,L1_M09,L1,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,22,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=11; pair_qc=accepted
svla_fix_022,recovery_L4_M09_R01,L4_M09,L4,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,23,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=12; pair_qc=accepted
svla_fix_023,recovery_L4_M09_R01,L4_M09,L4,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,24,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=12; pair_qc=accepted
svla_fix_024,recovery_L3_M09_R01,L3_M09,L3,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,25,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=13; replacement_raw_dataset_episode=28; replacement_raw_dataset_episode=35; pair_qc=accepted
svla_fix_025,recovery_L3_M09_R01,L3_M09,L3,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,26,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=13; replacement_raw_dataset_episode=28; replacement_raw_dataset_episode=35; pair_qc=accepted
svla_fix_026,recovery_L4_M09_R02,L4_M09,L4,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,27,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=14; replacement_raw_dataset_episode=29; pair_qc=accepted
svla_fix_027,recovery_L4_M09_R02,L4_M09,L4,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,28,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=14; replacement_raw_dataset_episode=29; pair_qc=accepted
svla_fix_028,recovery_L2_M09_R04,L2_M09,L2,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,29,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=15; pair_qc=accepted
svla_fix_029,recovery_L2_M09_R04,L2_M09,L2,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,30,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=15; pair_qc=accepted
svla_fix_030,recovery_L5_M09_R04,L5_M09,L5,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,31,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=16; replacement_raw_dataset_episode=30; pair_qc=accepted
svla_fix_031,recovery_L5_M09_R04,L5_M09,L5,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,32,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=16; replacement_raw_dataset_episode=30; pair_qc=accepted
svla_fix_032,recovery_L2_M09_R03,L2_M09,L2,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,33,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=17; replacement_raw_dataset_episode=31; pair_qc=accepted
svla_fix_033,recovery_L2_M09_R03,L2_M09,L2,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,34,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=17; replacement_raw_dataset_episode=31; pair_qc=accepted
svla_fix_034,recovery_L1_M09_R04,L1_M09,L1,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,35,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=18; pair_qc=accepted
svla_fix_035,recovery_L1_M09_R04,L1_M09,L1,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,36,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=18; pair_qc=accepted
svla_fix_036,recovery_L5_M09_R02,L5_M09,L5,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,37,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=19; replacement_raw_dataset_episode=32; pair_qc=accepted
svla_fix_037,recovery_L5_M09_R02,L5_M09,L5,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,38,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=19; replacement_raw_dataset_episode=32; pair_qc=accepted
svla_fix_038,recovery_L2_M09_R02,L2_M09,L2,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,39,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=20; replacement_raw_dataset_episode=33; pair_qc=accepted
svla_fix_039,recovery_L2_M09_R02,L2_M09,L2,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,40,0.88,0.62,0.42,-0.62,149.6,124.0,71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=20; replacement_raw_dataset_episode=33; pair_qc=accepted
