micro_layout_id,layout_id,repeat_id,geometry_id,coverage_focus,pink_x_norm,pink_y_norm,cyan_x_norm,cyan_y_norm,color_swap_of,physical_status,notes
L3_M03,L3,3,L3_G02,near_band,-0.28,-0.68,0.20,-0.38,L3_M04,planned_unverified,
L3_M04,L3,4,L3_G02,near_band,0.20,-0.38,-0.28,-0.68,L3_M03,planned_unverified,
L3_M05,L3,5,L3_G03,near_band,0.18,-0.70,0.64,-0.44,L3_M06,planned_unverified,
L3_M06,L3,6,L3_G03,near_band,0.64,-0.44,0.18,-0.70,L3_M05,planned_unverified,
L3_M07,L3,7,L3_G04,near_band,-0.62,-0.30,0.02,-0.62,L3_M08,planned_unverified,
L3_M08,L3,8,L3_G04,near_band,0.02,-0.62,-0.62,-0.30,L3_M07,planned_unverified,
L3_M09,L3,9,L3_G05,near_band,-0.10,-0.34,0.58,-0.72,L3_M10,planned_unverified,
L3_M10,L3,10,L3_G05,near_band,0.58,-0.72,-0.10,-0.34,L3_M09,planned_unverified,
L4_M01,L4,1,L4_G01,far_band,-0.72,0.72,-0.28,0.42,L4_M02,planned_unverified,
L4_M02,L4,2,L4_G01,far_band,-0.28,0.42,-0.72,0.72,L4_M01,planned_unverified,
L4_M03,L4,3,L4_G02,far_band,-0.28,0.68,0.20,0.38,L4_M04,planned_unverified,
L4_M04,L4,4,L4_G02,far_band,0.20,0.38,-0.28,0.68,L4_M03,planned_unverified,
L4_M05,L4,5,L4_G03,far_band,0.18,0.70,0.64,0.44,L4_M06,planned_unverified,
L4_M06,L4,6,L4_G03,far_band,0.64,0.44,0.18,0.70,L4_M05,planned_unverified,
L4_M07,L4,7,L4_G04,far_band,-0.62,0.30,0.02,0.62,L4_M08,planned_unverified,
L4_M08,L4,8,L4_G04,far_band,0.02,0.62,-0.62,0.30,L4_M07,planned_unverified,
L4_M09,L4,9,L4_G05,far_band,-0.10,0.34,0.58,0.72,L4_M10,planned_unverified,
L4_M10,L4,10,L4_G05,far_band,0.58,0.72,-0.10,0.34,L4_M09,planned_unverified,
L5_M01,L5,1,L5_G01,cross_workspace,-0.72,-0.55,0.68,-0.35,L5_M02,planned_unverified,
L5_M02,L5,2,L5_G01,cross_workspace,0.68,-0.35,-0.72,-0.55,L5_M01,planned_unverified,
L5_M03,L5,3,L5_G02,cross_workspace,-0.72,0.55,0.68,0.35,L5_M04,planned_unverified,
L5_M04,L5,4,L5_G02,cross_workspace,0.68,0.35,-0.72,0.55,L5_M03,planned_unverified,
L5_M05,L5,5,L5_G03,cross_workspace,-0.62,-0.62,0.58,0.62,L5_M06,planned_unverified,
L5_M06,L5,6,L5_G03,cross_workspace,0.58,0.62,-0.62,-0.62,L5_M05,planned_unverified,
L5_M07,L5,7,L5_G04,cross_workspace,-0.62,0.62,0.58,-0.62,L5_M08,planned_unverified,
L5_M08,L5,8,L5_G04,cross_workspace,0.58,-0.62,-0.62,0.62,L5_M07,planned_unverified,
L5_M09,L5,9,L5_G05,cross_workspace,-0.82,0.05,0.78,-0.05,L5_M10,planned_unverified,
L5_M10,L5,10,L5_G05,cross_workspace,0.78,-0.05,-0.82,0.05,L5_M09,planned_unverified,
